苹果黑星病; 使用含有嘧菌酯的杀菌剂。
苹果黑腐病; 使用含有氟环唑的杀菌剂。
苹果锈病; 使用含有三唑类的杀菌剂。
苹果疮痂病; 使用含有多菌灵或石硫合剂的杀菌剂。
木薯细菌性枯萎病; 采用健康种植材料，轮作，以及消毒工具和设备。
木薯褐条病; 使用病毒无害的种植材料，控制蚜虫。
木薯绿斑病; 使用健康种植材料，控制蚜虫和其他传播媒介。
木薯健康; 保持良好的农田卫生和管理。
木薯花叶病; 使用抗病品种，控制病毒传播媒介如蚜虫。
樱桃健康; 维持良好的栽培管理，确保适当的灌溉和施肥。
樱桃白粉病; 使用含有三环唑或氟硅唑的杀菌剂。
辣椒健康; 保持适当的栽培条件和良好的田间卫生。
辣椒叶卷曲; 控制病毒传播媒介如蚜虫，使用健康种子和苗木。
辣椒叶斑病; 使用含有铜的杀菌剂，保持田间卫生。
辣椒粉虱; 使用杀虫剂控制粉虱，如含有吡虫啉的产品。
辣椒黄化病; 采用病毒无害的种植材料，控制蚜虫。
咖啡赛尔科氏菌叶斑病; 使用含有嘧菌酯或三唑类杀菌剂。
咖啡健康; 保持适当的栽培管理和田间卫生。
咖啡红蜘蛛螨; 使用有针对性的杀螨剂，如含有氟螨酮的产品。
咖啡锈病; 使用含有嘧菌酯或三唑类杀菌剂。
玉米普通锈病; 使用含有嘧菌酯或三唑类杀菌剂。
玉米灰斑病; 使用含有三唑类或多菌灵的杀菌剂。
玉米健康; 保持适当的栽培条件和良好的田间卫生。
玉米北方叶斑病; 使用含有嘧菌酯或三唑类杀菌剂。
黄瓜病害; 使用适合的杀菌剂，如含有嘧菌酯的产品。
黄瓜健康; 保持适当的栽培条件和良好的田间卫生。
番石榴病害; 使用适合的杀菌剂，保持良好的灌溉管理。
番石榴健康; 保持适当的栽培条件和良好的田间卫生。
葡萄黑麻疹病; 使用含有三唑类或多菌灵的杀菌剂。
葡萄黑腐病; 使用含有嘧菌酯的杀菌剂。
葡萄健康; 保持适当的栽培条件和良好的田间卫生。
葡萄叶枯病（伊萨氏菌叶斑）; 使用含有嘧菌酯或三唑类杀菌剂。
